PM10
"13:30 14/02;""14:30 14/02"";""29"""
"14:30 14/02;""15:30 14/02"";""23"""
"15:30 14/02;""16:30 14/02"";""30"""
"16:30 14/02;""17:30 14/02"";""28"""
"17:30 14/02;""18:30 14/02"";""24"""
"18:30 14/02;""19:30 14/02"";""24"""
"19:30 14/02;""20:30 14/02"";""31"""
"20:30 14/02;""21:30 14/02"";""28"""
"21:30 14/02;""22:30 14/02"";""30"""
"22:30 14/02;""23:30 14/02"";""33"""
"23:30 14/02;""00:30 15/02"";""36"""
"00:30 15/02;""01:30 15/02"";""41"""
"01:30 15/02;""02:30 15/02"";""35"""
"02:30 15/02;""03:30 15/02"";""29"""
"03:30 15/02;""04:30 15/02"";""23"""
"04:30 15/02;""05:30 15/02"";""20"""
"05:30 15/02;""06:30 15/02"";""27"""
"06:30 15/02;""07:30 15/02"";""19"""
"07:30 15/02;""08:30 15/02"";""21"""
"08:30 15/02;""09:30 15/02"";""20"""
"09:30 15/02;""10:30 15/02"";""21"""
"10:30 15/02;""11:30 15/02"";""40"""
"11:30 15/02;""12:30 15/02"";""46"""
"12:30 15/02;""13:30 15/02"";""43"""
"13:30 15/02;""14:30 15/02"";""45"""
"14:30 15/02;""15:30 15/02"";""44"""
"15:30 15/02;""16:30 15/02"";""44"""
"16:30 15/02;""17:30 15/02"";""46"""
"17:30 15/02;""18:30 15/02"";""48"""
"18:30 15/02;""19:30 15/02"";""48"""
"19:30 15/02;""20:30 15/02"";""49"""
"20:30 15/02;""21:30 15/02"";""53"""
"21:30 15/02;""22:30 15/02"";""55"""
"22:30 15/02;""23:30 15/02"";""54"""
"23:30 15/02;""00:30 16/02"";""48"""
"00:30 16/02;""01:30 16/02"";""51"""
"01:30 16/02;""02:30 16/02"";""45"""
"02:30 16/02;""03:30 16/02"";""49"""
"03:30 16/02;""04:30 16/02"";""49"""
"04:30 16/02;""05:30 16/02"";""49"""
"05:30 16/02;""06:30 16/02"";""54"""
"06:30 16/02;""07:30 16/02"";""47"""
"07:30 16/02;""08:30 16/02"";""49"""
"08:30 16/02;""09:30 16/02"";""55"""
"09:30 16/02;""10:30 16/02"";""53"""
"10:30 16/02;""11:30 16/02"";""51"""
"11:30 16/02;""12:30 16/02"";""66"""
"12:30 16/02;""13:30 16/02"";""56"""
"13:30 16/02;""14:30 16/02"";""52"""
"14:30 16/02;""15:30 16/02"";""38"""
"15:30 16/02;""16:30 16/02"";""32"""
"16:30 16/02;""17:30 16/02"";""36"""
"17:30 16/02;""18:30 16/02"";""36"""
"18:30 16/02;""19:30 16/02"";""32"""
"19:30 16/02;""20:30 16/02"";""33"""
"20:30 16/02;""21:30 16/02"";""36"""
"21:30 16/02;""22:30 16/02"";""40"""
"22:30 16/02;""23:30 16/02"";""43"""
"23:30 16/02;""00:30 17/02"";""48"""
"00:30 17/02;""01:30 17/02"";""55"""
"01:30 17/02;""02:30 17/02"";""59"""
"02:30 17/02;""03:30 17/02"";""62"""
"03:30 17/02;""04:30 17/02"";""65"""
"04:30 17/02;""05:30 17/02"";""66"""
"05:30 17/02;""06:30 17/02"";""66"""
"06:30 17/02;""07:30 17/02"";""66"""
"07:30 17/02;""08:30 17/02"";""69"""
"08:30 17/02;""09:30 17/02"";""71"""
"09:30 17/02;""10:30 17/02"";""71"""
"10:30 17/02;""11:30 17/02"";""79"""
"11:30 17/02;""12:30 17/02"";""75"""
"12:30 17/02;""13:30 17/02"";""77"""
"13:30 17/02;""14:30 17/02"";""75"""
"14:30 17/02;""15:30 17/02"";""73"""
"15:30 17/02;""16:30 17/02"";""70"""
"16:30 17/02;""17:30 17/02"";""79"""
"17:30 17/02;""18:30 17/02"";""80"""
"18:30 17/02;""19:30 17/02"";""87"""
"19:30 17/02;""20:30 17/02"";""90"""
"20:30 17/02;""21:30 17/02"";""91"""
"21:30 17/02;""22:30 17/02"";""92"""
"22:30 17/02;""23:30 17/02"";""100"""
"23:30 17/02;""00:30 18/02"";""99"""
"00:30 18/02;""01:30 18/02"";""85"""
"01:30 18/02;""02:30 18/02"";""81"""
"02:30 18/02;""03:30 18/02"";""78"""
"03:30 18/02;""04:30 18/02"";""69"""
"04:30 18/02;""05:30 18/02"";""66"""
"05:30 18/02;""06:30 18/02"";""64"""
"06:30 18/02;""07:30 18/02"";""64"""
"07:30 18/02;""08:30 18/02"";""59"""
"08:30 18/02;""09:30 18/02"";""57"""
"09:30 18/02;""10:30 18/02"";""56"""
"10:30 18/02;""11:30 18/02"";""59"""
"11:30 18/02;""12:30 18/02"";""60"""
"12:30 18/02;""13:30 18/02"";""59"""
"13:30 18/02;""14:30 18/02"";""55"""
"14:30 18/02;""15:30 18/02"";""54"""
"15:30 18/02;""16:30 18/02"";""50"""
"16:30 18/02;""17:30 18/02"";""50"""
"17:30 18/02;""18:30 18/02"";""47"""
"18:30 18/02;""19:30 18/02"";""46"""
"19:30 18/02;""20:30 18/02"";""48"""
"20:30 18/02;""21:30 18/02"";""60"""
"21:30 18/02;""22:30 18/02"";""76"""
"22:30 18/02;""23:30 18/02"";""81"""
"23:30 18/02;""00:30 19/02"";""84"""
"00:30 19/02;""01:30 19/02"";""68"""
"01:30 19/02;""02:30 19/02"";""59"""
"02:30 19/02;""03:30 19/02"";""59"""
"03:30 19/02;""04:30 19/02"";""63"""
"04:30 19/02;""05:30 19/02"";""63"""
"05:30 19/02;""06:30 19/02"";""60"""
"06:30 19/02;""07:30 19/02"";""61"""
"07:30 19/02;""08:30 19/02"";""61"""
"08:30 19/02;""09:30 19/02"";""64"""
"09:30 19/02;""10:30 19/02"";""58"""
"10:30 19/02;""11:30 19/02"";""52"""
"11:30 19/02;""12:30 19/02"";""54"""
